Ben Hinchcliffe ,
Ben Marshall ,
Ben Mee ,37.39877300613497
Ben Osborn ,26.324324324324323
Ben Sheaf ,
Ben Stevenson ,
Ben Watson ,29.5
Ben White ,48.52777777777778
Ben Whitfield ,
Ben Wilmot ,4.5
Ben Winterbottom ,
Ben Woodburn ,6.666666666666667
Ben Wynter ,
Beni Baningime ,10.25
Benik Afobe ,9.354166666666666
Benjamin Chrisene ,
Benjamín Garré ,
Benny Ashley-Seal ,
Beram Kayal ,13.45945945945946
Bernard ,21.89041095890411
Bernardo ,30.487179487179485
Bernardo Espinosa ,47.81818181818182
Bernardo Rosa ,
Bernardo Silva ,41.12213740458015
Bernd Leno ,28.030927835051546
Bersant Celina ,
Bertrand Traoré ,19.444444444444443
Billy Arce ,
Billy Gilmour ,45.0
Billy Koumetio ,
Billy O'Brien ,
Billy Sharp ,7.902439024390244
Birkir Bjarnason ,
Björn Engels ,38.05882352941177
Boaz Myhill ,19.0
Bobby De Cordova-Reid ,17.85
Bobby Duncan ,
Bobby Thomas ,
Bojan ,21.3
Bojan Radulovic Samoukovic ,
Borja Bastón ,9.3
Brad Guzan ,29.7
Brad Jackson ,
Brad Smith ,22.8
Brad Young ,
Bradley Collins ,
Brahim Díaz ,5.6
Brandon Austin ,
Brandon Barker ,
Brandon Cooper ,
Brandon Fleming ,
Brandon Goodship ,
Brandon Mason ,
Brandon Pierrick ,3.5
Brandon Williams ,30.75
Branislav Ivanovic ,24.846153846153847
Brede Hangeland ,
Brendan Galloway ,19.666666666666668
Brennan Camp ,
Brian Lenihan ,
Brian Murphy ,
Brice Dja Djédjé ,
Bright Enobakhare ,
Brooklyn Genesini ,
Brooklyn Lyons-Foster ,
Bruno ,38.02564102564103
Bruno Ecuele Manga ,25.18421052631579
Bruno Fernandes ,56.64705882352941
Bruno Jordão ,6.0
Bruno Martins Indi ,28.192307692307693
Bruno Zuculini ,
Bryan Oviedo ,24.875
Bryce Hosannah ,
Bukayo Saka ,28.016949152542374
Calaum Jahraldo-Martin ,
Caleb Watts ,4.0
Callum Buckley ,
Callum Connolly ,
Callum Elder ,
Callum Hudson-Odoi ,21.24561403508772
Callum McManaman ,
Callum O'Hare ,
Callum Paterson ,20.444444444444443
Callum Robinson ,8.625
Callum Rowe ,
Callum Slattery ,10.333333333333334
Callum Wilson ,13.423529411764706
Callum Wright ,
Calum Chambers ,48.641304347826086
Calvin Bassey ,
Cameron Archer ,
Cameron Borthwick-Jackson ,
Cameron Brannagan ,
Cameron Carter-Vickers ,
Cameron Coxe ,
Cameron Dummigan ,
Cameron Humphreys-Grant ,
Cameron John ,
Caoimhin Kelleher ,26.0
Caolan Lavery ,
Carl Ikeme ,
Carl Jenkinson ,27.5
Carl Stewart ,
Carlos Vinícius ,5.111111111111111
Carlos de Pena ,
Carlton Morris ,
Carney Chukwuemeka ,4.5
Cauley Woodrow ,
Cengiz Ünder ,12.333333333333334
Cenk Tosun ,11.722222222222221
Cesc Fàbregas ,55.343283582089555
Chancel Mbemba ,23.666666666666668
Charalampos Mavrias ,
Charlie Adam ,31.82857142857143
Charlie Austin ,10.875
Charlie Colkett ,
Charlie Cresswell ,
Charlie Daniels ,44.141304347826086
Charlie Gilmour ,
Charlie Rowan ,
Charly Musonda ,6.0
Che Adams ,13.0
Cheikh Diaby ,
Cheikhou Kouyaté ,29.64457831325301
Chem Campbell ,
Chicharito ,13.0
Chris Basham ,34.391304347826086
Chris Brunt ,31.43859649122807
Chris Löwe ,28.057692307692307
Chris Mepham ,36.2
Chris Smalling ,35.985915492957744
Chris Willock ,
Chris Wood ,16.748031496062993
Christian Atsu ,13.72
Christian Benteke ,20.036496350364963
Christian Eriksen ,52.9765625
Christian Fuchs ,40.416666666666664
Christian Kabasele ,25.66304347826087
Christian Marques ,
Christian Pulisic ,25.576923076923077
Christian Saydee ,
Christian Walton ,
Christoph Klarer ,
Christoph Zimmermann ,38.88235294117647
Christopher Schindler ,39.729729729729726
Chuba Akpom ,
Ciaran Clark ,33.83018867924528
Ciaron Brown ,
